#     Step          Temp           Pot           Kin           Tot         Press
         0             1      -1.44798         0.875     -0.572981     -0.965432
         1      0.999874      -1.44788      0.874889     -0.572986     -0.945091
         2      0.999235      -1.44732      0.874331     -0.572992     -0.921477
         3      0.998003      -1.44625      0.873253     -0.572999      -0.89433
         4      0.996084      -1.44458      0.871574     -0.573007     -0.863357
         5      0.993371      -1.44222        0.8692     -0.573016     -0.828236
         6      0.989743      -1.43905      0.866025     -0.573026     -0.788605
         7      0.985065      -1.43497      0.861932     -0.573037     -0.744072
         8      0.979186      -1.42984      0.856788      -0.57305     -0.694205
         9      0.971939      -1.42351      0.850447     -0.573064     -0.638543
        10      0.963144      -1.41583      0.842751     -0.573079     -0.576593
        11      0.952605      -1.40662      0.833529     -0.573095     -0.507839
        12      0.940116      -1.39571      0.822602     -0.573112     -0.431753
        13      0.925466      -1.38291      0.809783      -0.57313     -0.347807
        14      0.908443      -1.36803      0.794887     -0.573147     -0.255496
        15       0.88884       -1.3509      0.777735     -0.573165     -0.154365
        16      0.866474      -1.33135      0.758165      -0.57318    -0.0440437
        17      0.841196      -1.30924      0.736046     -0.573194     0.0757066
        18      0.812909       -1.2845      0.711295     -0.573203      0.204941
        19      0.781592       -1.2571      0.683893     -0.573208      0.343469
        20      0.747325      -1.22711      0.653909     -0.573205      0.490781
        21      0.710312      -1.19472      0.621523     -0.573194      0.645985
        22      0.670909      -1.16022      0.587045     -0.573173      0.807738
        23      0.629638      -1.12408      0.550933     -0.573142      0.974197
        24      0.587204       -1.0869      0.513803       -0.5731         1.143
        25      0.544483      -1.04947      0.476423     -0.573048       1.31129
        26      0.502508      -1.01268      0.439694     -0.572989       1.47577
        27      0.462417     -0.977542      0.404615     -0.572927       1.63286
        28      0.425395     -0.945086      0.372221     -0.572866       1.77889
        29      0.392588     -0.916325      0.343515     -0.572811       1.91031
        30      0.365014     -0.892155      0.319387     -0.572768       2.02399
        31      0.343475     -0.873281      0.300541      -0.57274       2.11745
        32      0.328488     -0.860157      0.287427      -0.57273       2.18907
        33       0.32024     -0.852949       0.28021     -0.572739       2.23821
        34      0.318583     -0.851526       0.27876     -0.572765       2.26524
        35      0.323067     -0.855488      0.282684     -0.572804       2.27143
        36      0.332996     -0.864223      0.291372     -0.572851       2.25879
        37      0.347514     -0.876976      0.304075     -0.572902       2.22985
        38       0.36569     -0.892929      0.319978      -0.57295       2.18738
        39      0.386602      -0.91127      0.338277     -0.572994       2.13414
        40      0.409402     -0.931256      0.358226     -0.573029       2.07274
        41       0.43336     -0.952246       0.37919     -0.573056       2.00545
        42      0.457889     -0.973727      0.400653     -0.573074       1.93418
        43      0.482545     -0.995311      0.422227     -0.573084       1.86042
        44      0.507016      -1.01673      0.443639     -0.573088       1.78528
        45      0.531103       -1.0378      0.464715     -0.573087       1.70956
        46       0.55469      -1.05844      0.485354     -0.573083       1.63381
        47      0.577721      -1.07858      0.505506     -0.573077        1.5584
        48      0.600175      -1.09822      0.525153     -0.573071       1.48361
        49      0.622048      -1.11736      0.544292     -0.573065       1.40963
        50      0.643339      -1.13598      0.562922     -0.573059       1.33664
        51      0.664042      -1.15409      0.581037     -0.573055       1.26484
        52       0.68414      -1.17167      0.598622     -0.573052       1.19444
        53      0.703606       -1.1887      0.615655     -0.573049       1.12567
        54      0.722402      -1.20515      0.632102     -0.573048       1.05878
        55      0.740487      -1.22097      0.647926     -0.573046      0.994023
        56      0.757814      -1.23613      0.663087     -0.573045      0.931674
        57      0.774336      -1.25059      0.677544     -0.573044      0.871984
        58      0.790012       -1.2643       0.69126     -0.573043      0.815191
        59      0.804804      -1.27725      0.704203     -0.573042       0.76151
        60      0.818682      -1.28939      0.716347     -0.573041      0.711129
        61      0.831625      -1.30071      0.727672     -0.573039      0.664204
        62      0.843619       -1.3112      0.738167     -0.573037      0.620861
        63      0.854658      -1.32086      0.747826     -0.573035      0.581195
        64      0.864743      -1.32968       0.75665     -0.573032      0.545274
        65       0.87388      -1.33768      0.764645      -0.57303      0.513138
        66      0.882083      -1.34485      0.771822     -0.573027      0.484807
        67      0.889366      -1.35122      0.778195     -0.573025      0.460281
        68      0.895748       -1.3568      0.783779     -0.573022      0.439544
        69      0.901249      -1.36161      0.788593      -0.57302      0.422566
        70      0.905891      -1.36567      0.792655     -0.573018      0.409309
        71      0.909696        -1.369      0.795984     -0.573016      0.399724
        72      0.912684      -1.37161      0.798598     -0.573014      0.393757
        73      0.914877      -1.37353      0.800517     -0.573013      0.391347
        74      0.916295      -1.37477      0.801758     -0.573011      0.392428
        75      0.916958      -1.37535      0.802338      -0.57301      0.396931
        76      0.916885      -1.37528      0.802275     -0.573009      0.404778
        77      0.916098      -1.37459      0.801585     -0.573008      0.415887
        78      0.914615      -1.37329      0.800288     -0.573007      0.430168
        79      0.912458      -1.37141        0.7984     -0.573005      0.447524
        80       0.90965      -1.36895      0.795944     -0.573004      0.467845
        81      0.906217      -1.36594       0.79294     -0.573003       0.49101
        82      0.902188      -1.36242      0.789414     -0.573002      0.516885
        83      0.897594       -1.3584      0.785395        -0.573      0.545319
        84      0.892474      -1.35391      0.780915     -0.572999      0.576145
        85      0.886869      -1.34901       0.77601     -0.572997      0.609179
        86      0.880826      -1.34372      0.770723     -0.572994      0.644218
        87      0.874398      -1.33809      0.765099     -0.572992      0.681041
        88      0.867643      -1.33218      0.759188     -0.572989       0.71941
        89      0.860624      -1.32603      0.753046     -0.572986      0.759074
        90      0.853406      -1.31971       0.74673     -0.572983      0.799768
        91      0.846058      -1.31328      0.740301      -0.57298       0.84122
        92       0.83865       -1.3068      0.733819     -0.572977      0.883159
        93      0.831251      -1.30032      0.727344     -0.572974      0.925315
        94      0.823926      -1.29391      0.720935     -0.572972      0.967429
        95      0.816735      -1.28761      0.714643      -0.57297       1.00926
        96      0.809732      -1.28148      0.708515     -0.572968       1.05059
        97      0.802958      -1.27556      0.702588     -0.572967       1.09124
        98      0.796444      -1.26986      0.696889     -0.572967       1.13106
        99      0.790209       -1.2644      0.691433     -0.572968       1.16993
       100      0.784255      -1.25919      0.686223      -0.57297       1.20781
       101      0.778573      -1.25422      0.681252     -0.572972       1.24466
       102      0.773138      -1.24947      0.676496     -0.572975       1.28051
       103      0.767913       -1.2449      0.671924     -0.572979       1.31542
       104      0.762853      -1.24048      0.667496     -0.572983       1.34948
       105      0.757903      -1.23615      0.663165     -0.572988        1.3828
       106      0.753007      -1.23187      0.658881     -0.572992        1.4155
       107      0.748108      -1.22759      0.654594     -0.572997        1.4477
       108      0.743153      -1.22326      0.650259        -0.573        1.4795
       109        0.7381      -1.21884      0.645838     -0.573003         1.511
       110      0.732919      -1.21431      0.641304     -0.573005       1.54222
       111      0.727597      -1.20965      0.636647     -0.573006       1.57316
       112       0.72214      -1.20488      0.631873     -0.573005       1.60375
       113       0.71658      -1.20001      0.627007     -0.573004       1.63384
