#     Step          Temp           Pot           Kin           Tot         Press
         0           2.5     -0.517867       2.49216        1.9743      0.339069
         1       2.50015      -0.51802       2.49232        1.9743      0.338995
         2       2.50044     -0.518303        2.4926        1.9743       0.33888
         3       2.50085     -0.518716       2.49301        1.9743      0.338723
         4        2.5014     -0.519259       2.49356        1.9743      0.338524
         5       2.50207     -0.519933       2.49423        1.9743      0.338286
         6       2.50288     -0.520738       2.49503        1.9743      0.338009
         7       2.50382     -0.521673       2.49597        1.9743      0.337693
         8       2.50489     -0.522741       2.49704        1.9743      0.337342
         9       2.50609     -0.523941       2.49824        1.9743      0.336957
        10       2.50743     -0.525273       2.49957        1.9743       0.33654
        11        2.5089     -0.526739       2.50104        1.9743      0.336095
        12        2.5105     -0.528338       2.50263        1.9743      0.335624
        13       2.51224     -0.530071       2.50437        1.9743      0.335132
        14       2.51412     -0.531938       2.50623        1.9743      0.334622
        15       2.51612      -0.53394       2.50824        1.9743      0.334099
        16       2.51827     -0.536076       2.51037        1.9743       0.33357
        17       2.52055     -0.538349       2.51265        1.9743      0.332921
        18       2.52296     -0.540757       2.51505        1.9743      0.332396
        19       2.52551       -0.5433        2.5176        1.9743      0.331887
        20        2.5282     -0.545975       2.52027        1.9743      0.331403
        21       2.53101     -0.548783       2.52308        1.9743      0.330954
        22       2.53396     -0.551723       2.52602        1.9743      0.330612
        23       2.53704     -0.554792       2.52909        1.9743      0.330272
        24       2.54025     -0.557988       2.53228       1.97429      0.329952
        25       2.54357     -0.561306        2.5356       1.97429      0.329787
        26       2.54702     -0.564743       2.53904       1.97429        0.3298
        27       2.55058     -0.568295       2.54259       1.97429      0.329893
        28       2.55425     -0.571954       2.54625       1.97429      0.330215
        29       2.55802     -0.575711          2.55       1.97429      0.330678
        30       2.56188     -0.579555       2.55385       1.97429       0.33138
        31       2.56581     -0.583476       2.55777       1.97429      0.332596
        32        2.5698      -0.58746       2.56175       1.97429      0.333901
        33       2.57384     -0.591489       2.56577       1.97429      0.335763
        34        2.5779     -0.595539       2.56982       1.97428      0.337953
        35       2.58196     -0.599585       2.57387       1.97428      0.340662
        36       2.58598     -0.603594       2.57787       1.97428      0.343972
        37       2.58993     -0.607532       2.58181       1.97427      0.347919
        38       2.59376     -0.611356       2.58563       1.97427      0.352848
        39       2.59743     -0.615017       2.58928       1.97427      0.358645
        40       2.60087     -0.618459       2.59272       1.97426      0.365621
        41       2.60404     -0.621619       2.59587       1.97425      0.373635
        42       2.60684     -0.624423       2.59867       1.97425      0.383089
        43       2.60922     -0.626795       2.60104       1.97424      0.394097
        44       2.61107     -0.628654       2.60289       1.97423      0.406723
        45       2.61233     -0.629919       2.60414       1.97422      0.421494
        46       2.61293     -0.630518       2.60474       1.97422      0.438217
        47       2.61279      -0.63039        2.6046       1.97421      0.457192
        48       2.61189     -0.629493        2.6037       1.97421      0.478382
        49       2.61021     -0.627818       2.60202       1.97421      0.501793
        50       2.60778     -0.625393        2.5996       1.97421      0.527408
        51       2.60466     -0.622287        2.5965       1.97421      0.555064
        52       2.60097     -0.618601       2.59282       1.97421      0.584767
        53       2.59681     -0.614449       2.58867       1.97422      0.615898
        54       2.59228     -0.609932       2.58415       1.97422        0.6481
        55       2.58744     -0.605112       2.57933       1.97421      0.681682
        56       2.58229     -0.599992        2.5742       1.97421      0.716311
        57       2.57678      -0.59451        2.5687       1.97419      0.752018
        58       2.57079     -0.588555       2.56274       1.97418      0.789236
        59        2.5642      -0.58199       2.55616       1.97417      0.828377
        60       2.55687     -0.574694       2.54885       1.97416      0.868999
        61       2.54874     -0.566592       2.54075       1.97416      0.911433
        62        2.5398     -0.557684       2.53184       1.97416      0.956041
        63       2.53013     -0.548037        2.5222       1.97416       1.00202
        64       2.51986     -0.537791       2.51196       1.97417       1.04949
        65       2.50919     -0.527138       2.50132       1.97418       1.09762
        66       2.49833     -0.516304        2.4905        1.9742       1.14614
        67       2.48754     -0.505528       2.47974       1.97421       1.19438
        68       2.47704      -0.49505       2.46927       1.97422       1.24174
        69       2.46706     -0.485093       2.45933       1.97423       1.28775
        70        2.4578     -0.475852       2.45009       1.97424       1.33185
        71       2.44942      -0.46749       2.44174       1.97425        1.3737
        72       2.44204     -0.460134       2.43439       1.97425       1.41278
        73       2.43576     -0.453873       2.42813       1.97426       1.44911
        74       2.43064     -0.448761       2.42302       1.97426       1.48227
        75       2.42669      -0.44483       2.41909       1.97425       1.51245
        76       2.42394     -0.442086       2.41634       1.97425       1.53921
        77       2.42236      -0.44052       2.41477       1.97425       1.56289
        78       2.42195     -0.440108       2.41436       1.97425       1.58329
