#     Step          Temp           Pot           Kin           Tot         Press
         0         239.6      -1.61402      0.707588     -0.906436    -0.0244276
         1       239.499      -1.61373      0.707291     -0.906436    -0.0243859
         2       239.196      -1.61283      0.706396     -0.906437    -0.0242605
         3       238.686      -1.61133       0.70489     -0.906439    -0.0240504
         4       237.963       -1.6092      0.702755     -0.906441    -0.0237541
         5       237.019      -1.60641      0.699965     -0.906444    -0.0233696
         6       235.841      -1.60293      0.696486     -0.906447    -0.0228944
         7       234.416      -1.59873      0.692278     -0.906452    -0.0223255
         8       232.728      -1.59375      0.687294     -0.906456    -0.0216594
         9        230.76      -1.58794      0.681481     -0.906461    -0.0208985
        10       228.491      -1.58125      0.674781     -0.906468    -0.0200354
        11       225.898       -1.5736      0.667125     -0.906474    -0.0190572
        12       222.958      -1.56492       0.65844     -0.906481    -0.0179653
        13       219.644      -1.55514      0.648653     -0.906488    -0.0167565
        14       215.933      -1.54419      0.637694     -0.906497    -0.0154378
        15       211.802        -1.532      0.625496     -0.906504     -0.014002
        16       207.233      -1.51851      0.612001      -0.90651    -0.0124202
        17       202.209      -1.50368      0.597164     -0.906514    -0.0106995
        18       196.726      -1.48749      0.580971     -0.906517   -0.00884493
        19       190.793      -1.46997       0.56345     -0.906517   -0.00687817
        20       184.437      -1.45119       0.54468     -0.906514    -0.0048093
        21       177.706      -1.43131      0.524803     -0.906504   -0.00262428
        22       170.671      -1.41052      0.504027      -0.90649  -0.000352923
        23       163.427      -1.38911      0.482635     -0.906472    0.00196707
        24       156.094      -1.36743      0.460977     -0.906449    0.00430374
        25       148.807      -1.34588      0.439457     -0.906423    0.00662241
        26       141.712       -1.3249      0.418504     -0.906398    0.00888316
        27       134.951      -1.30491      0.398537     -0.906375     0.0110436
        28       128.654       -1.2863       0.37994     -0.906355     0.0130729
        29       122.929      -1.26938      0.363035     -0.906341      0.014933
        30       117.858      -1.25439       0.34806     -0.906333     0.0166027
        31       113.493       -1.2415      0.335168     -0.906329     0.0180718
        32       109.857      -1.23076      0.324431     -0.906329     0.0193313
        33        106.95      -1.22218      0.315844     -0.906333     0.0203853
        34       104.747      -1.21568      0.309341      -0.90634     0.0212292
        35        103.21      -1.21115        0.3048     -0.906349      0.021878
        36       102.283      -1.20842      0.302061      -0.90636     0.0223342
        37       101.902      -1.20731      0.300938     -0.906372     0.0226277
        38       101.999      -1.20761      0.301223     -0.906385     0.0227788
        39       102.499       -1.2091      0.302701     -0.906397      0.022793
        40       103.328      -1.21156      0.305149     -0.906409     0.0227136
        41       104.412      -1.21477      0.308349     -0.906421     0.0225384
        42        105.68      -1.21853      0.312094     -0.906432     0.0223101
