#     Step          Temp           Pot           Kin           Tot         Press
         0             2       2.32503       1.77778        4.1028       19.0756
         1       1.67497       2.61613       1.48886       4.10499       20.0353
         2       1.37692        2.8834       1.22393       4.10733       20.8486
         3       1.14762        3.0892       1.02011       4.10931       21.4436
         4       1.02168       3.20224      0.908162        4.1104       21.7628
         5       1.01818       3.20527      0.905049       4.11032       21.7736
         6       1.13577       3.09953       1.00958       4.10911       21.4753
         7       1.35352       2.90401       1.20313       4.10714       20.8976
         8       1.63698       2.64986        1.4551       4.10496       20.0923
         9       1.94695       2.37242       1.73063       4.10305       19.1224
        10       2.24775       2.10372         1.998       4.10171       18.0514
        11       2.51264        1.8676       2.23345       4.10106       16.9364
        12       2.72597       1.67793       2.42308       4.10101       15.8245
        13       2.88247       1.53922        2.5622       4.10142       14.7515
        14       2.98496       1.44881        2.6533       4.10211       13.7429
        15       3.04146        1.3994       2.70352       4.10292       12.8142
        16       3.06332       1.38103       2.72295       4.10399       11.9991
        17       3.06248       1.38244       2.72221       4.10465       11.2808
        18       3.04889       1.39509       2.71012       4.10522       10.6365
        19       3.03043       1.41195       2.69372       4.10566       10.0616
        20       3.01331        1.4275        2.6785         4.106       9.54897
        21       3.00196       1.43781       2.66841       4.10622       9.09003
        22       2.99923       1.44038       2.66598       4.10636       8.67629
        23       3.00656       1.43393       2.67249       4.10643       8.29997
        24       3.02433       1.41815       2.68829       4.10645       7.96543
        25        3.0521       1.39344       2.71297       4.10641       7.65833
        26       3.08871       1.36084       2.74552       4.10636       7.37331
        27       3.13264       1.32172       2.78457       4.10629        7.1088
        28       3.18225       1.27756       2.82866       4.10622       6.86436
        29        3.2359        1.2298       2.87636       4.10616       6.64032
        30       3.29225       1.17967       2.92644       4.10611       6.44993
        31       3.35016       1.12815       2.97792       4.10608        6.2807
        32        3.4087        1.0761       3.02996       4.10606       6.13315
        33       3.46722       1.02408       3.08198       4.10605       6.00771
        34       3.52535       0.97241       3.13365       4.10606       5.90432
        35       3.58298      0.921204       3.18487       4.10608        5.8225
        36       3.64019      0.870377       3.23572        4.1061       5.76122
        37       3.69722      0.819711       3.28642       4.10613        5.7189
        38       3.75443      0.768887       3.33727       4.10616       5.69336
        39       3.81223      0.717531       3.38865       4.10618       5.68177
        40       3.87129      0.665111       3.44115       4.10626       5.69709
        41       3.93091      0.612048       3.49414       4.10619       5.77229
        42       3.98944      0.559919       3.54617       4.10609       5.86102
        43       4.04553       0.50991       3.59603       4.10594       5.96187
        44       4.09714      0.463835        3.6419       4.10573       6.07633
        45       4.14142       0.42417       3.68126       4.10543       6.21372
        46        4.1743      0.394528       3.71049       4.10502       6.36046
        47       4.19022      0.379858       3.72464       4.10449       6.51889
        48        4.1821      0.386441       3.71743       4.10387        6.6967
        49       4.14162       0.42169       3.68144       4.10313       6.90719
        50       4.05959      0.493791       3.60852       4.10231       7.16097
        51       3.92733      0.610758       3.49096       4.10171       7.47726
        52       3.73994      0.777132       3.32439       4.10152       7.84738
        53       3.50066      0.990369       3.11169       4.10206       8.26784
        54       3.22539       1.23656       2.86701       4.10357       8.70132
        55       2.94576       1.48753       2.61845       4.10598       9.07867
        56       2.70665       1.70277       2.40591       4.10867       9.30873
        57       2.55543       1.83913       2.27149       4.11062       9.29352
        58       2.52525       1.86625       2.24466       4.11091       8.98282
        59       2.62117       1.77949       2.32993       4.10942       8.40717
        60       2.81847       1.60164       2.50531       4.10694       7.66773
        61       3.07413       1.37193       2.73256       4.10449       6.90061
        62       3.34325       1.13099       2.97178       4.10277       6.22953
        63       3.59103      0.909919       3.19202       4.10194       5.73265
        64       3.79687      0.726842         3.375       4.10184       5.43803
        65       3.95275      0.588644       3.51355        4.1022       5.34024
        66       4.05913      0.494635       3.60811       4.10275       5.40817
        67       4.12119      0.440077       3.66328       4.10336       5.59795
        68       4.14611      0.418513       3.68543       4.10395       5.87199
        69       4.14153      0.423105       3.68136       4.10447       6.20023
        70       4.11476      0.447361       3.65756       4.10492       6.54962
        71       4.07235       0.48544       3.61987        4.1053       6.89793
        72       4.02002      0.532266       3.57335       4.10562        7.2282
        73       3.96187      0.584112       3.52167       4.10578       7.56168
        74       3.90087      0.638564       3.46744         4.106       7.87159
        75       3.84049      0.692253       3.41377       4.10602       8.18564
        76       3.78277      0.743535       3.36246         4.106       8.45475
        77       3.72757      0.792553       3.31339       4.10595        8.6846
        78       3.67419      0.839925       3.26595       4.10587       8.88217
        79       3.62158      0.886601       3.21918       4.10579       9.05512
        80       3.56852      0.933682       3.17202        4.1057       9.21107
        81       3.51354      0.982451       3.12315        4.1056       9.37849
        82       3.45529       1.03417       3.07137       4.10553       9.54771
        83       3.39301       1.08949       3.01601        4.1055       9.72102
        84       3.32646       1.14864       2.95686       4.10549       9.90093
        85       3.25595       1.21135       2.89418       4.10552       10.0878
        86       3.18238        1.2768       2.82878       4.10559       10.2799
        87       3.10731       1.34364       2.76205       4.10569        10.473
        88        3.0329       1.40991       2.69591       4.10582        10.661
        89       2.96186       1.47321       2.63276       4.10597       10.8357
        90       2.89716       1.53085       2.57525        4.1061       10.9947
        91       2.84165       1.58031       2.52591       4.10622       11.1321
        92       2.79766       1.61947       2.48681       4.10628       11.2327
        93       2.76651       1.64713       2.45912       4.10625       11.2936
        94       2.74792       1.66352        2.4426       4.10611       11.3169
        95       2.73987       1.67045       2.43544       4.10588        11.311
        96       2.73877       1.67113       2.43447        4.1056       11.2892
        97       2.74009       1.66966       2.43564        4.1053       11.2678
        98       2.73915       1.67025        2.4348       4.10505       11.2634
        99       2.73205       1.67641       2.42849        4.1049       11.2894
       100       2.71642       1.69027        2.4146       4.10487       11.3536
       101       2.69207       1.71207       2.39295       4.10502       11.4702
       102       2.66094       1.73993       2.36528        4.1052       11.6253
       103       2.62644       1.77084       2.33462       4.10545       11.7962
       104       2.59301       1.80083        2.3049       4.10573       11.9663
       105       2.56542        1.8256       2.28038       4.10597       12.1176
       106       2.54809        1.8412       2.26497       4.10617       12.2335
       107        2.5446       1.84444       2.26187       4.10631       12.3002
       108       2.55753       1.83304       2.27336       4.10641       12.3079
       109       2.58853       1.80554       2.30091       4.10645       12.2552
       110       2.63846       1.76119        2.3453       4.10648       12.1402
       111       2.70764        1.6997       2.40679       4.10649       11.9552
       112       2.79572       1.62136       2.48508       4.10645       11.7013
       113       2.90149       1.52725        2.5791       4.10635       11.3827
       114       3.02252       1.41945       2.68668       4.10613       11.0185
       115       3.15513       1.30136       2.80456       4.10592       10.6224
       116       3.29488        1.1769       2.92879       4.10569       10.1985
       117       3.43711       1.05026       3.05521       4.10547       9.76159
       118       3.57724      0.925509       3.17977       4.10528       9.32541
       119       3.71123       0.80626       3.29887       4.10513       8.90092
       120        3.8351      0.695953       3.40898       4.10493       8.52939
       121       3.94535      0.597856       3.50698       4.10484       8.19367
       122       4.03965      0.513957        3.5908       4.10476       7.89068
       123       4.11623      0.445817       3.65887       4.10469       7.61873
       124       4.17357      0.394769       3.70984       4.10461       7.37389
       125       4.21033      0.362004       3.74252       4.10452       7.16199
       126       4.22512      0.348751       3.75566       4.10441       6.96521
       127       4.21641      0.356376       3.74792       4.10429       6.77705
       128       4.18267      0.386243       3.71793       4.10417       6.59166
       129       4.12256      0.439566        3.6645       4.10406       6.40383
       130       4.03526      0.517141       3.58689       4.10404       6.21334
       131       3.92102       0.61867       3.48535       4.10402       6.02981
       132       3.78131      0.742952       3.36116       4.10412       5.82977
       133       3.61915      0.887321       3.21702       4.10434       5.61129
       134       3.43995         1.047       3.05773       4.10473       5.37198
       135       3.25172       1.21485       2.89042       4.10527       5.10858
       136       3.06547       1.38105       2.72486       4.10592       4.84508
       137       2.89385       1.53428       2.57231       4.10659       4.55474
       138       2.74944       1.66328       2.44395       4.10723       4.23157
       139       2.64369       1.75777       2.34994       4.10771       3.87722
       140       2.58506        1.8101       2.29784       4.10793       3.50431
       141       2.57764       1.81664       2.29124       4.10788       3.13405
       142       2.62051       1.77823       2.32934       4.10757       2.79449
       143       2.70826       1.69974       2.40734       4.10708       2.51633
       144        2.8322       1.58901       2.51751       4.10652       2.32732
       145       2.98192       1.45536       2.65059       4.10595       2.24712
       146       3.14681       1.30829       2.79716       4.10545       2.28406
       147       3.31713        1.1565       2.94856       4.10505       2.43432
       148       3.48469       1.00726       3.09751       4.10477       2.68352
       149       3.64313      0.866247       3.23834       4.10458       3.00969
       150       3.78787      0.737503       3.36699        4.1045       3.38689
       151       3.91599      0.623604       3.48088       4.10449       3.78861
       152       4.02598      0.525881       3.57865       4.10453       4.19046
       153       4.11746      0.444657       3.65997       4.10463       4.57205
       154       4.19091      0.379492       3.72526       4.10475       4.91788
       155       4.24716      0.329524       3.77525       4.10478       5.23386
       156       4.28715      0.294109        3.8108        4.1049       5.51529
       157       4.31218       0.27198       3.83305       4.10503       5.74952
       158       4.32368      0.261785       3.84327       4.10506        5.9481
       159       4.32248      0.262933       3.84221       4.10514       6.14366
       160       4.30931      0.274717        3.8305       4.10521       6.31607
       161       4.28508      0.296301       3.80896       4.10526       6.47419
       162       4.25078      0.326946       3.77847       4.10542       6.63941
       163       4.20757      0.365396       3.74006       4.10546       6.83232
       164       4.15599      0.411212       3.69421       4.10543        7.0315
       165        4.0958      0.464672       3.64071       4.10538        7.2395
       166        4.0266      0.526139        3.5792       4.10534       7.46445
       167         3.948      0.595965       3.50933        4.1053       7.71312
       168       3.85975      0.674382       3.43089       4.10527       7.99052
       169       3.76189       0.76136        3.3439       4.10526       8.29949
       170       3.65496       0.85644       3.24886        4.1053       8.64015
       171       3.54018      0.958552       3.14682       4.10538       9.01271
       172       3.41962       1.06586       3.03966       4.10552       9.40943
       173        3.2961       1.17576       2.92987       4.10563        9.8352
       174       3.17331       1.28517       2.82072       4.10588       10.2717
       175       3.05599       1.38973       2.71644       4.10617       10.6909
       176       2.94958       1.48461       2.62185       4.10646       11.0734
       177       2.85955       1.56494       2.54182       4.10677       11.4117
       178       2.79067       1.62634       2.48059       4.10693       11.6846
       179       2.74605       1.66605       2.44094       4.10699       11.8719
       180       2.72683       1.68308       2.42385       4.10693       11.9702
       181       2.73203       1.67829       2.42847       4.10677       11.9834
       182       2.75885       1.65421       2.45231       4.10652       11.9225
       183       2.80304       1.61465       2.49159       4.10624       11.8036
       184       2.85946       1.56417       2.54174       4.10591       11.6511
       185       2.92257       1.50779       2.59784       4.10563       11.4949
       186       2.98706       1.45021       2.65517       4.10538        11.342
       187       3.04833       1.39555       2.70963       4.10518       11.2099
       188       3.10252       1.34722        2.7578       4.10502        11.113
       189       3.14656       1.30794       2.79694       4.10488       11.0664
       190       3.17808       1.27984       2.82496        4.1048       11.0858
       191       3.19549       1.26433       2.84043       4.10477       11.1768
       192       3.19804       1.26206        2.8427       4.10477       11.3271
       193        3.1859        1.2729       2.83191       4.10481       11.5332
       194       3.16001         1.296       2.80889       4.10489       11.7877
       195       3.12215       1.32978       2.77524       4.10502       12.0792
       196       3.07502       1.37186       2.73335        4.1052        12.392
       197       3.02223         1.419       2.68643       4.10543       12.7064
       198       2.96828       1.46723       2.63847        4.1057        13.004
       199       2.91833       1.51193       2.59407         4.106       13.2535
       200       2.87788       1.54817       2.55811       4.10628       13.4258
       201       2.85211       1.57129       2.53521        4.1065       13.4937
       202        2.8452       1.57757       2.52906       4.10663       13.4336
       203        2.8595       1.56484       2.54178       4.10662       13.2287
       204       2.89513       1.53303       2.57345       4.10648       12.8708
       205       2.94984       1.48417       2.62208       4.10624       12.3736
       206       3.01942       1.42197       2.68393       4.10589       11.7508
       207       3.09807       1.35166       2.75384       4.10551        11.001
       208       3.17923       1.27918       2.82598       4.10516       10.1547
       209        3.2567       1.21005       2.89485       4.10489       9.22318
       210       3.32546       1.14875       2.95596       4.10471       8.22799
       211       3.38202       1.09842       3.00624       4.10466       7.19517
       212       3.42458       1.06059       3.04407       4.10466       6.14782
       213       3.45284       1.03556        3.0692       4.10475       5.09528
       214        3.4679       1.02233       3.08258        4.1049       4.07234
       215       3.47198        1.0189        3.0862        4.1051        3.0849
       216        3.4681       1.02257       3.08276       4.10533        2.1552
       217       3.45986       1.03014       3.07543       4.10557       1.30605
       218       3.45106        1.0382       3.06761       4.10581      0.559771
       219       3.44523       1.04348       3.06243       4.10591    -0.0523835
       220       3.44492        1.0439       3.06215       4.10605     -0.490816
       221       3.45185       1.03781       3.06831       4.10612     -0.762276
       222       3.46712       1.02424       3.08188       4.10613     -0.865406
       223       3.49066       1.00325       3.10281       4.10606     -0.798872
       224       3.52124      0.975938       3.12999       4.10593      -0.56773
       225       3.55652      0.944397       3.16135       4.10574     -0.182761
       226       3.59339      0.911462       3.19413       4.10559      0.352802
       227       3.62832      0.880216       3.22517       4.10539       1.02279
       228       3.65745      0.854028       3.25107       4.10509       1.81106
       229       3.67652      0.836796       3.26802       4.10481       2.67425
       230       3.68105      0.832509       3.27205       4.10455       3.59599
       231       3.66712      0.844675       3.25966       4.10434       4.56194
       232       3.63164      0.876052       3.22813       4.10418       5.55983
       233       3.57274      0.928339       3.17577       4.10411       6.57871
       234       3.49012       1.00182       3.10232       4.10414       7.60753
       235       3.38549       1.09499       3.00932       4.10432       8.63329
       236       3.26291       1.20427       2.90036       4.10463       9.63927
       237       3.12879       1.32392       2.78115       4.10507        10.604
       238       2.99154       1.44643       2.65915       4.10558       11.5019
       239       2.86054       1.56336        2.5427       4.10607       12.3059
       240       2.74459       1.66679       2.43964       4.10643       12.9919
       241       2.65024       1.75081       2.35577       4.10658       13.5445
       242       2.58042        1.8128       2.29371        4.1065       13.9607
       243       2.53401       1.85377       2.25245       4.10623       14.2513
       244       2.50643       1.87789       2.22794       4.10583       14.4383
       245         2.491        1.8912       2.21422       4.10542       14.5503
       246       2.48058       1.90011       2.20496       4.10507       14.6194
       247       2.46895       1.91019       2.19462       4.10481       14.6798
       248       2.45181       1.92534       2.17938       4.10472       14.7442
       249        2.4275       1.94702       2.15778        4.1048       14.8121
       250       2.39751       1.97394       2.13112       4.10506       14.8782
       251        2.3665       2.00194       2.10355       4.10549       14.9255
       252       2.34206       2.02421       2.08183       4.10604       14.9261
       253       2.33371       2.03219       2.07441        4.1066       14.8448
       254       2.35108       2.01719       2.08985       4.10704       14.6456
       255       2.40153       1.97253       2.13469       4.10722          14.3
       256       2.48805       1.89548        2.2116       4.10708       13.7946
       257       2.60815       1.78829       2.31836       4.10665       13.1348
       258       2.75397       1.65792       2.44798        4.1059       12.3615
       259        2.9139       1.51509       2.59013       4.10522       11.5144
       260       3.07551       1.37087       2.73378       4.10465       10.6255
       261       3.22777       1.23507       2.86913        4.1042       9.73804
       262       3.36196       1.11551        2.9884       4.10391       8.87272
       263       3.47196       1.01759       3.08619       4.10378       8.05473
       264       3.55437      0.944334       3.15944       4.10377        7.3121
       265       3.60796      0.896758       3.20707       4.10383       6.65436
       266       3.63307       0.87455       3.22939       4.10395       6.08876
       267       3.63131      0.876275       3.22783       4.10411       5.62637
       268       3.60538      0.899539       3.20478       4.10432       5.27742
       269       3.55896      0.941059       3.16352       4.10458       5.05239
       270       3.49678      0.996648       3.10825       4.10489       4.95647
       271       3.42456       1.06121       3.04405       4.10526       4.99089
       272       3.34896       1.12881       2.97686       4.10567       5.15119
       273       3.27726       1.19297       2.91312       4.10609       5.42547
       274       3.21676       1.24712       2.85934       4.10647        5.7942
       275       3.17401       1.28542       2.82134       4.10676       6.23146
       276       3.15381       1.30351       2.80339        4.1069       6.70756
       277       3.15845       1.29936       2.80752       4.10687       7.19243
       278       3.18728       1.27354       2.83314       4.10669       7.65902
       279       3.23719       1.22894       2.87751       4.10645        8.1058
       280       3.30304       1.17004       2.93604       4.10608       8.50019
